ID;Title;Type;Document
AML.T0040;AI Model Inference API Access;Technique;"AML.T0040: AI Model Inference API Access
Adversaries may gain access to a model via legitimate access to the inference API.
Inference API access can be a source of information to the adversary ([Discover ML Model Ontology](/techniques/AML.T0013), [Discover ML Model Family](/techniques/AML.T0014)), a means of staging the attack ([Verify Attack](/techniques/AML.T0042), [Craft Adversarial Data](/techniques/AML.T0043)), or for introducing data to the target system for Impact ([Evade ML Model](/techniques/AML.T0015), [Erode ML Model Integrity](/techniques/AML.T0031)).

Many systems rely on the same models provided via an inference API, which means they share the same vulnerabilities. This is especially true of foundation models which are prohibitively resource intensive to train. Adversaries may use their access to model APIs to identify vulnerabilities such as jailbreaks or hallucinations and then target applications that use the same models."
AML.T0008;Acquire Infrastructure;Technique;"AML.T0008: Acquire Infrastructure
Adversaries may buy, lease, or rent infrastructure for use throughout their operation.
A wide variety of infrastructure exists for hosting and orchestrating adversary operations.
Infrastructure solutions include physical or cloud servers, domains, mobile devices, and third-party web services.
Free resources may also be used, but they are typically limited.
Infrastructure can also include physical components such as countermeasures that degrade or disrupt AI components or sensors, including printed materials, wearables, or disguises.

Use of these infrastructure solutions allows an adversary to stage, launch, and execute an operation.
Solutions may help adversary operations blend in with traffic that is seen as normal, such as contact to third-party web services.
Depending on the implementation, adversaries may use infrastructure that makes it difficult to physically tie back to them as well as utilize infrastructure that can be rapidly provisioned, modified, and shut down."
AML.T0002;Acquire Public ML Artifacts;Technique;"AML.T0002: Acquire Public ML Artifacts
Adversaries may search public sources, including cloud storage, public-facing services, and software or data repositories, to identify machine learning artifacts.
These machine learning artifacts may include the software stack used to train and deploy models, training and testing data, model configurations and parameters.
An adversary will be particularly interested in artifacts hosted by or associated with the victim organization as they may represent what that organization uses in a production environment.
Adversaries may identify artifact repositories via other resources associated with the victim organization (e.g. [Search Victim-Owned Websites](/techniques/AML.T0003) or [Search for Victim's Publicly Available Research Materials](/techniques/AML.T0000)).
These ML artifacts often provide adversaries with details of the ML task and approach.

ML artifacts can aid in an adversary's ability to [Create Proxy ML Model](/techniques/AML.T0005).
If these artifacts include pieces of the actual model in production, they can be used to directly [Craft Adversarial Data](/techniques/AML.T0043).
Acquiring some artifacts requires registration (providing user details such email/name), AWS keys, or written requests, and may require the adversary to [Establish Accounts](/techniques/AML.T0021).

Artifacts might be hosted on victim-controlled infrastructure, providing the victim with some information on who has accessed that data.
"
AML.T0006;Active Scanning;Technique;"AML.T0006: Active Scanning
An adversary may probe or scan the victim system to gather information for targeting.
This is distinct from other reconnaissance techniques that do not involve direct interaction with the victim system.
"
AML.T0016.000;Adversarial ML Attack Implementations;Technique;"AML.T0016.000: Adversarial ML Attack Implementations
Adversaries may search for existing open source implementations of machine learning attacks. The research community often publishes their code for reproducibility and to further future research. Libraries intended for research purposes, such as CleverHans, the Adversarial Robustness Toolbox, and FoolBox, can be weaponized by an adversary. Adversaries may also obtain and use tools that were not originally designed for adversarial ML attacks as part of their attack."
AML.T0017.000;Adversarial ML Attacks;Technique;"AML.T0017.000: Adversarial ML Attacks
Adversaries may develop their own adversarial attacks.
They may leverage existing libraries as a starting point ([Adversarial ML Attack Implementations](/techniques/AML.T0016.000)).
They may implement ideas described in public research papers or develop custom made attacks for the victim model.
"
AML.T0018;Backdoor ML Model;Technique;"AML.T0018: Backdoor ML Model
Adversaries may introduce a backdoor into a ML model.
A backdoored model operates performs as expected under typical conditions, but will produce the adversary's desired output when a trigger is introduced to the input data.
A backdoored model provides the adversary with a persistent artifact on the victim system.
The embedded vulnerability is typically activated at a later time by data samples with an [Insert Backdoor Trigger](/techniques/AML.T0043.004)
"
AML.T0043.001;Black-Box Optimization;Technique;"AML.T0043.001: Black-Box Optimization
In Black-Box attacks, the adversary has black-box (i.e. [AI Model Inference API Access](/techniques/AML.T0040) via API access) access to the target model.
With black-box attacks, the adversary may be using an API that the victim is monitoring.
These attacks are generally less effective and require more inferences than [White-Box Optimization](/techniques/AML.T0043.000) attacks, but they require much less access.
"
AML.T0043.002;Black-Box Transfer;Technique;"AML.T0043.002: Black-Box Transfer
In Black-Box Transfer attacks, the adversary uses one or more proxy models (trained via [Create Proxy ML Model](/techniques/AML.T0005) or [Train Proxy via Replication](/techniques/AML.T0005.001)) they have full access to and are representative of the target model.
The adversary uses [White-Box Optimization](/techniques/AML.T0043.000) on the proxy models to generate adversarial examples.
If the set of proxy models are close enough to the target model, the adversarial example should generalize from one to another.
This means that an attack that works for the proxy models will likely then work for the target model.
If the adversary has [AI Model Inference API Access](/techniques/AML.T0040), they may use [Verify Attack](/techniques/AML.T0042) to confirm the attack is working and incorporate that information into their training process.
"
AML.T0050;Command and Scripting Interpreter;Technique;"AML.T0050: Command and Scripting Interpreter
Adversaries may abuse command and script interpreters to execute commands, scripts, or binaries. These interfaces and languages provide ways of interacting with computer systems and are a common feature across many different platforms. Most systems come with some built-in command-line interface and scripting capabilities, for example, macOS and Linux distributions include some flavor of Unix Shell while Windows installations include the Windows Command Shell and PowerShell.

There are also cross-platform interpreters such as Python, as well as those commonly associated with client applications such as JavaScript and Visual Basic.

Adversaries may abuse these technologies in various ways as a means of executing arbitrary commands. Commands and scripts can be embedded in Initial Access payloads delivered to victims as lure documents or as secondary payloads downloaded from an existing C2. Adversaries may also execute commands through interactive terminals/shells, as well as utilize various Remote Services in order to achieve remote Execution.
"
AML.T0008.001;Consumer Hardware;Technique;"AML.T0008.001: Consumer Hardware
Adversaries may acquire consumer hardware to conduct their attacks.
Owning the hardware provides the adversary with complete control of the environment. These devices can be hard to trace.
"
AML.T0034;Cost Harvesting;Technique;"AML.T0034: Cost Harvesting
Adversaries may target different machine learning services to send useless queries or computationally expensive inputs to increase the cost of running services at the victim organization.
Sponge examples are a particular type of adversarial data designed to maximize energy consumption and thus operating cost.
"
AML.T0043;Craft Adversarial Data;Technique;"AML.T0043: Craft Adversarial Data
Adversarial data are inputs to a machine learning model that have been modified such that they cause the adversary's desired effect in the target model.
Effects can range from misclassification, to missed detections, to maximizing energy consumption.
Typically, the modification is constrained in magnitude or location so that a human still perceives the data as if it were unmodified, but human perceptibility may not always be a concern depending on the adversary's intended effect.
For example, an adversarial input for an image classification task is an image the machine learning model would misclassify, but a human would still recognize as containing the correct class.

Depending on the adversary's knowledge of and access to the target model, the adversary may use different classes of algorithms to develop the adversarial example such as [White-Box Optimization](/techniques/AML.T0043.000), [Black-Box Optimization](/techniques/AML.T0043.001), [Black-Box Transfer](/techniques/AML.T0043.002), or [Manual Modification](/techniques/AML.T0043.003).

The adversary may [Verify Attack](/techniques/AML.T0042) their approach works if they have white-box or inference API access to the model.
This allows the adversary to gain confidence their attack is effective ""live"" environment where their attack may be noticed.
They can then use the attack at a later time to accomplish their goals.
An adversary may optimize adversarial examples for [Evade ML Model](/techniques/AML.T0015), or to [Erode ML Model Integrity](/techniques/AML.T0031).
"
AML.T0005;Create Proxy ML Model;Technique;"AML.T0005: Create Proxy ML Model
Adversaries may obtain models to serve as proxies for the target model in use at the victim organization.
Proxy models are used to simulate complete access to the target model in a fully offline manner.

Adversaries may train models from representative datasets, attempt to replicate models from victim inference APIs, or use available pre-trained models.
"
AML.T0010.002;Data;Technique;"AML.T0010.002: Data
Data is a key vector of supply chain compromise for adversaries.
Every machine learning project will require some form of data.
Many rely on large open source datasets that are publicly available.
An adversary could rely on compromising these sources of data.
The malicious data could be a result of [Poison Training Data](/techniques/AML.T0020) or include traditional malware.

An adversary can also target private datasets in the labeling phase.
The creation of private datasets will often require the hiring of outside labeling services.
An adversary can poison a dataset by modifying the labels being generated by the labeling service.
"
AML.T0036;Data from Information Repositories;Technique;"AML.T0036: Data from Information Repositories
Adversaries may leverage information repositories to mine valuable information.
Information repositories are tools that allow for storage of information, typically to facilitate collaboration or information sharing between users, and can store a wide variety of data that may aid adversaries in further objectives, or direct access to the target information.

Information stored in a repository may vary based on the specific instance or environment.
Specific common information repositories include SharePoint, Confluence, and enterprise databases such as SQL Server.
"
