id,element,threat_description,element_type,stride,mitre_atlas,owasp_top_10_for_llm,mitigation,cvss_vector,cvss_score,threat_source,validation,justification,mitigated
1,Developers / CI/CD,Unauthorized actor gains or reuses developer or pipeline credentials to impersonate legitimate provisioning.,External Entity,Spoofing,T1078: Valid Accounts,A07: Identification and Authentication Failures,Enforce strong MFA on developer accounts and CI/CD pipelines; rotate service principal keys; use managed identities.,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H,10,llm,true,,false
2,Developers / CI/CD,"Actions taken by developers or pipeline processes are not adequately logged, allowing repudiation of administrative changes.",External Entity,Repudiation,,A09: Security Logging and Monitoring Failures,"Enable immutable, centralized audit logs for all Terraform and local-exec operations; correlate events to identities.",CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:L/A:N,6.5,llm,true,,false
3,End Users / Clients,"Attacker spoofs legitimate client requests (e.g., forged JWTs or session tokens) to access function APIs.",External Entity,Spoofing,T1078: Valid Accounts,A07: Identification and Authentication Failures,Validate and verify JWT tokens server-side; implement token expiration and audience restrictions; enable OAuth scopes.,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H,10,llm,true,,false
4,End Users / Clients,Lack of non-repudiation on API calls allows malicious clients to deny their actions or evade accountability.,External Entity,Repudiation,,A09: Security Logging and Monitoring Failures,"Implement request logging with immutable IDs, timestamps, and origin metadata; integrate WAF or API gateway logs.",CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:L/A:N,6.5,llm,true,,false
5,Terraform Engine,Malicious or rogue provider plugin impersonates legitimate AzureRM provider to intercept credentials.,Process,Spoofing,T1556: Modify Authentication Process,A02: Cryptographic Failures,Verify plugin signatures; restrict plugin sources; use signed modules from trusted registry.,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H,7.2,llm,true,,false
6,Terraform Engine,State file (.tfstate) or plan files tampered in transit or at rest altering resource definitions.,Process,Tampering,T1560: Archive Collected Data,A05: Security Misconfiguration,Encrypt state at rest with managed keys; use secure remote state backend; enable versioning.,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H,7.2,llm,true,,false
7,Terraform Engine,User denies having applied specific changes and no audit trail is available to prove execution.,Process,Repudiation,T1078: Valid Accounts,A09: Security Logging and Monitoring Failures,Enable audit logging for Terraform operations; sign plans and enforce review workflows.,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:L/A:N,6.5,llm,true,,false
8,Terraform Engine,"Sensitive variables (e.g., admin_password, connection strings) exposed in logs or local cache.",Process,Information Disclosure,T1537: Transfer Data to Cloud Account,A02: Cryptographic Failures,Mask sensitive output; use variable encryption; configure Terraform sanitization flags.,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:C/C:H/I:N/A:N,6.8,llm,true,,false
9,Terraform Engine,Resource creation or plan execution stalled or crashed under heavy load causing DoS for provisioning.,Process,Denial of Service,T1499: Endpoint Denial of Service,,Limit parallelism; monitor resource usage; use CI/CD rate limits and retries.,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:N/I:N/A:H,4.9,llm,true,,false
10,Terraform Engine,Local provisioner runs escalate privileges by invoking scripts with elevated rights.,Process,Elevation of Privileges,T1548: Abuse Elevation Control Mechanism,A04: Insecure Design,Run provisioners under least-privilege identity; audit local-exec scripts; avoid privileged operations.,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,7.8,llm,true,,false
11,azurerm_app_service_plan.app_service_plan,Attacker spoofs service plan identity to bind malicious apps and intercept traffic.,Process,Spoofing,T1078: Valid Accounts,A07: Identification and Authentication Failures,Use managed identities with RBAC; restrict service principal assignments; audit role bindings.,CVSS:3.1/AV:N/AC:M/PR:H/UI:N/S:U/C:H/I:H/A:H,,llm,true,,false
12,azurerm_app_service_plan.app_service_plan,"Configuration settings of the plan tampered, enabling unsupported features or weaker isolation.",Process,Tampering,T1546: Event Triggered Execution,A05: Security Misconfiguration,Enforce policy guardrails (Azure Policy); lock critical resources; limit contributor scope.,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H,7.2,llm,true,,false
13,azurerm_app_service_plan.app_service_plan,"Operator denies having changed scaling or platform settings, leading to confusion in incident response.",Process,Repudiation,T1098: Account Manipulation,A09: Security Logging and Monitoring Failures,Enable Activity Logs; enforce retention and immutability for App Service diagnostics logs.,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:L/A:N,6.5,llm,true,,false
14,azurerm_app_service_plan.app_service_plan,Plan metrics (CPU/memory) or logs inadvertently expose subscription or app details.,Process,Information Disclosure,T1537: Transfer Data to Cloud Account,A02: Cryptographic Failures,Restrict diagnostic log access; use private endpoints for Kudu/API; encrypt log storage.,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:L/I:N/A:N,2.7,llm,true,,false
15,azurerm_app_service_plan.app_service_plan,Overloading the plan with too many apps or requests causes DoS for hosted function apps.,Process,Denial of Service,T1499: Endpoint Denial of Service,,Implement scaling limits; configure request quotas and alerts; isolate high-traffic apps.,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,7.5,llm,true,,false
16,azurerm_app_service_plan.app_service_plan,Compromise of App Service Plan permissions allows escalation to full resource group control.,Process,Elevation of Privileges,T1068: Exploitation for Privilege Escalation,A05: Security Misconfiguration,"Grant only minimal roles (e.g., Web Plan Contributor); use PIM for elevation; monitor RBAC changes.",CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:C/C:H/I:H/A:H,9.1,llm,true,,false
17,azurerm_function_app.function_app,Attacker forges function app identity or certificate to call internal APIs.,Process,Spoofing,T1556: Modify Authentication Process,A07: Identification and Authentication Failures,Enable App Service Authentication with AAD; enforce mTLS for internal calls.,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:C/C:H/I:H/A:H,9.1,llm,true,,false
18,azurerm_function_app.function_app,Deployment package or environment variables tampered to inject malicious code or keys.,Process,Tampering,T1222: File and Directory Permissions Modification,A08: Software and Data Integrity Failures,Use SAS tokens with read-only for package; validate package checksum; restrict App Settings edits.,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:C/C:H/I:H/A:H,9.1,llm,true,,false
19,azurerm_function_app.function_app,Developer or attacker denies CRUD operations against function app settings.,Process,Repudiation,T1098: Account Manipulation,A09: Security Logging and Monitoring Failures,Enable diagnostic logs and App Service HTTP logs; send to SIEM with immutable retention.,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:L/A:N,6.5,llm,true,,false
20,azurerm_function_app.function_app,"App Settings or secrets (COSMOS key, STORAGE conn) inadvertently exposed through misconfigured Kudu or FTP.",Process,Information Disclosure,T1526: Cloud Instance Metadata API,A02: Cryptographic Failures,Disable FTP; restrict Kudu endpoint; enable private endpoint and IP restrictions.,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:N/A:N,4.9,llm,true,,false
21,azurerm_function_app.function_app,Flooding the function endpoint with high request volume leads to cold-start delays or throttling.,Process,Denial of Service,,,Enable API throttling in API Management or WAF; implement retry/backoff; use premium plan.,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,7.5,llm,true,,false
22,azurerm_function_app.function_app,Misuse of function-managed identity or code vulnerability to gain contributor access on CosmosDB.,Process,Elevation of Privileges,T1553: Subvert Trust Controls,A05: Security Misconfiguration,Assign least-privilege roles to managed identity; monitor identity usage; enforce RBAC separation.,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H,10,llm,true,,false
