id,element,threat_description,element_type,stride,mitre_atlas,owasp_top_10_for_llm,mitigation,cvss_vector,cvss_score,threat_source,validation,justification,mitigated
1,Developers / CI/CD,An attacker could spoof the identity of an authorized developer or CI/CD pipeline to deploy malicious infrastructure changes.,External Entity,Spoofing,,,"Enforce strong authentication (e.g., Azure AD service principals with MFA), restrict pipeline triggers, and sign all Terraform plans before apply.",CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N,5.3,llm,true,,false
2,Developers / CI/CD,"Authorized changes provisioned by Terraform cannot be reliably traced back to a unique actor, enabling repudiation of malicious or accidental changes.",External Entity,Repudiation,,,"Enable detailed logging and audit trails in Azure Activity Logs, require code reviews, and attach immutable identifiers to pipeline runs.",CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:N,0,llm,true,,false
3,End Users / Clients,"An attacker may spoof client identities (e.g., forge HTTP headers or tokens) to call front‐end or back‐end Function APIs.",External Entity,Spoofing,,,"Implement strong authentication/authorization on APIs (e.g., Azure AD, API keys), validate tokens, and enforce origin checks.",CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N,5.3,llm,true,,false
4,End Users / Clients,"Clients may deny having sent certain requests (e.g., malicious or abusive API calls) due to lack of proper request logging.",External Entity,Repudiation,,,"Log all incoming requests with timestamps, source IPs, and authentication context in a tamper‐evident store.",CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:N,0,llm,true,,false
5,Terraform Engine,An attacker spoofs Terraform provider endpoints or plugins to inject malicious code during apply.,Process,Spoofing,,,"Validate plugin checksums, use signed provider binaries, restrict provider sources.",CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:N,9.1,llm,true,,false
6,Terraform Engine,An attacker tampers with local .tf files or state files to change resource definitions or inject secrets.,Process,Tampering,,,Store state in secure remote backend with encryption and MFA-protected access; enable immutability.,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:N,7.1,llm,true,,false
7,Terraform Engine,Changes applied by Terraform cannot be repudiated due to lack of authenticated commit metadata or signed runs.,Process,Repudiation,,,"Require signed commits, enforce CI pipeline identity, and log Terraform runs with immutable audit.",CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:N,0,llm,true,,false
8,Terraform Engine,"Sensitive variables (e.g., credentials) in Terraform plan or logs are exposed to unauthorized parties.",Process,Information Disclosure,,,"Use secret management (Azure Key Vault), redact logs, and restrict access to plan outputs.",CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,7.5,llm,true,,false
9,Terraform Engine,An attacker floods the Terraform Engine with malformed or excessively large modules to exhaust local resources.,Process,Denial of Service,,,"Enforce size limits on modules, monitor resource usage, and isolate runs in containerized CI.",CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,7.5,llm,true,,false
10,Terraform Engine,Privileged Terraform process is tricked into running elevated local-exec scripts that yield root on the host.,Process,Elevation of Privileges,,,Run local-exec in sandboxed containers with least privileges and validate scripts before execution.,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,7.8,llm,true,,false
11,azurerm_app_service_plan.app_service_plan,An attacker spoofs management API calls to the App Service Plan to alter scaling or routing.,Process,Spoofing,,,"Use Azure RBAC, enforce Azure AD tokens, and validate API caller identity.",CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:N,5.4,llm,true,,false
12,azurerm_app_service_plan.app_service_plan,"An attacker tampers with plan configuration (e.g., SKU, region) to run unauthorized or costly instances.",Process,Tampering,,,"Lock critical resources, enforce policy-as-code (Azure Policy), and review plan changes via PR.",CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:N,8.1,llm,true,,false
13,azurerm_app_service_plan.app_service_plan,"Scaling events or configuration changes are not logged or attributed, enabling repudiation.",Process,Repudiation,,,Enable diagnostic logs for App Service Plan and send to secure SIEM.,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:N,0,llm,true,,false
14,azurerm_app_service_plan.app_service_plan,Plan metrics or logs leak internal topology or usage data to unauthorized viewers.,Process,Information Disclosure,,,"Restrict diagnostic log access, encrypt logs at rest, and audit access.",CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:N/A:N,4.3,llm,true,,false
15,azurerm_app_service_plan.app_service_plan,"An attacker sends excessive traffic to hosted apps, exhausting plan CPU or memory.",Process,Denial of Service,,,"Enable Autoscale rules, configure WAF/DDoS Protection, and set rate limits.",CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,7.5,llm,true,,false
