id,element,threat_description,element_type,stride,mitre_atlas,owasp_top_10_for_llm,mitigation,cvss_vector,cvss_score,threat_source,validation,justification,mitigated
1,Anonymous User,Attacker spoofs a legitimate user’s identity to bypass access controls.,External Entity,Spoofing,T1078: Valid Accounts,A07:2021: Identification and Authentication Failures,"Enforce strong authentication (MFA, unique credentials) and monitor for anomalous login behavior.",CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:L/A:N,6.5,llm,true,,false
2,Anonymous User,Attacker disputes or denies actions taken (e.g. malicious changes) to evade accountability.,External Entity,Repudiation,T1563: Remote Service Session Hijacking,A09:2021: Security Logging and Monitoring Failures,Implement robust logging with cryptographic non-repudiation (digitally signed logs) and time stamps.,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:N,0,llm,true,,false
3,Blog Application,Unauthorized actor invokes API endpoints under a spoofed session token.,Process,Spoofing,T1550: Use of Valid Accounts,A07:2021: Identification and Authentication Failures,Validate and bind session tokens to user context; rotate and expire tokens frequently.,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:L,8.3,llm,true,,false
4,Blog Application,Attacker tampers with HTTP request parameters to elevate privileges or change data.,Process,Tampering,T1490: Inhibit System Recovery,A01:2021: Broken Access Control,Validate and sanitize all input; implement parameterized requests and payload integrity checks.,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:N,9.1,llm,true,,false
5,Blog Application,Lack of reliable audit trail allows user to deny having performed an action.,Process,Repudiation,T1071: Application Layer Protocol,A09:2021: Security Logging and Monitoring Failures,"Ensure detailed, immutable audit logs with unique user identifiers and time stamps.",CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:N,0,llm,true,,false
6,Blog Application,"Error messages leak stack traces or config details, exposing sensitive info.",Process,Information Disclosure,T1552: Unsecured Credentials,A05:2021: Security Misconfiguration,Return generic error pages; disable debug information in production.,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N,5.3,llm,true,,false
7,Blog Application,"High volume of HTTP requests overwhelms the function, causing downtime.",Process,Denial of Service,T1499: Endpoint Denial of Service,,"Implement rate limiting, WAF, and autoscaling with throttling policies.",CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:N/I:N/A:H,8.6,llm,true,,false
8,Blog Application,Misconfigured Azure RBAC allows attacker to elevate privileges via function settings.,Process,Elevation of Privilege,T1548: Abuse Elevation Control Mechanism,A05:2021: Security Misconfiguration,Apply least-privilege principles; restrict function app managed identity permissions.,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:N/I:N/A:N,0,llm,true,,false
9,Authorization Logic,An attacker forges user claims to bypass role checks.,Process,Spoofing,T1556: Modify Authentication Process,A07:2021: Identification and Authentication Failures,Cryptographically validate JWT claims; enforce server-side role checks.,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:N,9.1,llm,true,,false
10,Authorization Logic,Logic tampering via code injection alters permission evaluation.,Process,Tampering,T1059: Command and Scripting Interpreter,A03:2021: Injection,Use secure coding practices; perform code-review and fine-grained input validation.,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:N,9.1,llm,true,,false
11,Authorization Logic,Insufficient logging of authorization decisions allows repudiation of grant/deny actions.,Process,Repudiation,T1078: Valid Accounts,A09:2021: Security Logging and Monitoring Failures,"Log all authorization attempts with user ID, timestamp, and outcome.",CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:N,0,llm,true,,false
12,Authorization Logic,Debug endpoints expose user roles or policy logic.,Process,Information Disclosure,T1614: Archive Collected Data,A05:2021: Security Misconfiguration,Remove or secure any debug/diagnostic endpoints; enforce auth on admin APIs.,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N,5.3,llm,true,,false
13,Authorization Logic,Heavy role‐check loops can be abused to slow service or cause crashes.,Process,Denial of Service,T1499: Endpoint Denial of Service,,Limit recursion; cache role mappings; apply execution timeouts.,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,7.5,llm,true,,false
14,Authorization Logic,Privilege escalation through misconfigured policy giving admin rights.,Process,Elevation of Privilege,T1548.003: Abuse Elevation Control Mechanism: Windows Management Instrumentation,A05:2021: Security Misconfiguration,Review policy definitions; enforce separation of duty and RBAC least privilege.,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:N/I:N/A:N,0,llm,true,,false
15,User → Blog Application,Malicious interception and modification of HTTP requests in transit.,Data Flow,Tampering,T1557: Adversary-in-the-Middle,A02:2021: Cryptographic Failures,Enforce TLS 1.2+ with HSTS and certificate pinning where possible.,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:N,9.1,llm,true,,false
