id,element,threat_description,element_type,stride,mitre_atlas,owasp_top_10_for_llm,mitigation,cvss_vector,cvss_score,threat_source,validation,justification,mitigated
1,User (Browser),Attacker spoofs a legitimate user via stolen credentials/session (credential stuffing/phishing) to access accounts.,External Entity,Spoofing,AML.T0012: Valid Accounts,,"Enforce MFA; detect and block credential stuffing with rate limits/bot detection; short-lived, rotated session tokens; device binding and re-auth for sensitive actions; session revocation on anomaly.",CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:P/VC:H/VI:H/VA:L/SC:N/SI:N/SA:N,8.7,llm,true,,false
2,User (Browser),Users can deny having initiated transactions or requests due to insufficient non-repudiation/audit evidence.,External Entity,Repudiation,,,"Maintain tamper-evident, time-synced audit logs capturing user ID, IP/device fingerprint, request IDs; digitally sign critical requests/receipts; show confirmation screens and email receipts.",CVSS:4.0/AV:N/AC:L/AT:N/PR:L/UI:P/VC:L/VI:L/VA:N/SC:N/SI:N/SA:N,5.1,llm,true,,false
3,Frontend UI (Flask/Jinja2),Session hijacking/fixation or missing CSRF protections allow acting as another user.,Process,Spoofing,AML.T0049: Exploit Public-Facing Application,,"Secure, HttpOnly, SameSite=strict cookies; rotate session IDs on login; enforce CSRF tokens; strict origin/referrer checks; JWT audience/issuer/nonce checks.",CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:P/VC:H/VI:H/VA:L/SC:N/SI:N/SA:N,8.7,llm,true,,false
4,Frontend UI (Flask/Jinja2),Server-Side Template Injection (SSTI) or other input tampering leading to code execution.,Process,Tampering,AML.T0049: Exploit Public-Facing Application,,Enable autoescape; never render user-controlled template strings; use Jinja2 sandboxed environment; rigorous input validation/encoding; dependency patching; WAF rules.,CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:N/VC:H/VI:H/VA:H/SC:N/SI:N/SA:N,9.3,llm,true,,false
5,Frontend UI (Flask/Jinja2),Insufficient request/response/audit logging enables denial of actions by users without traceability.,Process,Repudiation,,,"Structured, immutable logs with user/session IDs and request IDs; time sync; write-once or tamper-evident storage; log integrity monitoring.",CVSS:4.0/AV:N/AC:L/AT:N/PR:L/UI:N/VC:L/VI:L/VA:N/SC:N/SI:N/SA:N,5.3,llm,true,,false
6,Frontend UI (Flask/Jinja2),"XSS, verbose errors, or misconfigured caching discloses sensitive data.",Process,Information Disclosure,AML.T0049: Exploit Public-Facing Application,,Strict CSP; output encoding; avoid reflecting user input; redact errors; disable client caching of sensitive data; secure headers; template autoescape.,CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:P/VC:H/VI:N/VA:N/SC:N/SI:N/SA:N,7.1,llm,true,,false
7,Frontend UI (Flask/Jinja2),Request floods or slowloris exhaust front-end resources.,Process,Denial of Service,,,"WAF, rate limiting, connection timeouts, keep-alive and header size limits, autoscaling/CDN, request body size limits.",CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:N/VC:N/VI:N/VA:H/SC:N/SI:N/SA:N,8.7,llm,true,,false
8,Frontend UI (Flask/Jinja2),Template or deserialization flaws enable code execution and privilege escalation on the host.,Process,Elevation of Privileges,AML.T0050: Command and Scripting Interpreter,,Disable dangerous Jinja2 features; no untrusted deserialization; run as non-root with seccomp/AppArmor; container isolation; least OS/file permissions.,CVSS:4.0/AV:N/AC:L/AT:N/PR:L/UI:N/VC:H/VI:H/VA:H/SC:N/SI:N/SA:N,8.7,llm,true,,false
9,Auth Service (Flask + JWT),"JWT forgery/replay (weak secrets, alg=none, missing audience/expiry) allows impersonation.",Process,Spoofing,,,"Use strong signing (RS256/ES256), verify alg, iss/aud/exp/nbf, jti with replay cache; rotate keys; short TTL; TLS everywhere.",CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:N/VC:H/VI:H/VA:L/SC:N/SI:N/SA:N,9.3,llm,true,,false
10,Auth Service (Flask + JWT),Tampering via SQL injection during credential checks or JWT tampering in transit.,Process,Tampering,,,Parameterize queries via SQLAlchemy; least-privileged DB roles; strict JWT verification; mTLS between services; input validation.,CVSS:4.0/AV:N/AC:L/AT:N/PR:L/UI:N/VC:H/VI:H/VA:H/SC:N/SI:N/SA:N,8.7,llm,true,,false
11,Auth Service (Flask + JWT),Insufficient login/token issuance logging enables denial of actions and hinders forensics.,Process,Repudiation,,,"Log auth attempts, token issuance/refresh/revocations; correlate with IP/device; store tamper-evidently; alert on anomalies.",CVSS:4.0/AV:N/AC:L/AT:N/PR:L/UI:N/VC:L/VI:L/VA:N/SC:N/SI:N/SA:N,5.3,llm,true,,false
12,Auth Service (Flask + JWT),User enumeration or token/credential leakage via verbose errors or logs.,Process,Information Disclosure,AML.T0049: Exploit Public-Facing Application,,Generic authentication errors; avoid logging secrets; minimize JWT claims; encrypt secrets at rest; secure config.,CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:N/VC:H/VI:N/VA:N/SC:N/SI:N/SA:N,8.7,llm,true,,false
13,Auth Service (Flask + JWT),Brute-force/password spraying and expensive hashing lead to service exhaustion.,Process,Denial of Service,,,"Rate limits, CAPTCHA/bot detection, exponential backoff, IP reputation; tune Argon2/bcrypt cost and use adaptive throttling.",CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:N/VC:N/VI:N/VA:H/SC:N/SI:N/SA:N,8.7,llm,true,,false
14,Auth Service (Flask + JWT),Privilege escalation via missing authorization on admin or token scope confusion.,Process,Elevation of Privileges,AML.T0049: Exploit Public-Facing Application,,Enforce RBAC/ABAC; validate scopes on every call; default-deny; separate admin surface; security tests for IDOR and scope bypass.,CVSS:4.0/AV:N/AC:L/AT:N/PR:L/UI:N/VC:H/VI:H/VA:L/SC:N/SI:N/SA:N,8.7,llm,true,,false
15,Business Logic (Flask),"Endpoints trust asserted identity (missing JWT verification), allowing impersonation.",Process,Spoofing,,,Verify JWT signature and claims server-side; enforce session binding; check CSRF on state-changing operations.,CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:P/VC:H/VI:H/VA:L/SC:N/SI:N/SA:N,8.7,llm,true,,false
16,Business Logic (Flask),"Parameter tampering (amounts, IDs) enables fraudulent transactions or metadata corruption.",Process,Tampering,,,Server-side validation; enforce object-level auth; idempotency keys; HMAC-signed intents; double-entry checks for funds moves.,CVSS:4.0/AV:N/AC:L/AT:N/PR:L/UI:P/VC:H/VI:H/VA:L/SC:N/SI:N/SA:N,8.6,llm,true,,false
17,Business Logic (Flask),Insufficient transaction/audit logging lets users repudiate actions.,Process,Repudiation,,,Append-only audit trails with request IDs and cryptographic integrity; secure time source; regular log integrity verification.,CVSS:4.0/AV:N/AC:L/AT:N/PR:L/UI:N/VC:L/VI:L/VA:N/SC:N/SI:N/SA:N,5.3,llm,true,,false
18,Business Logic (Flask),IDOR/over-broad queries disclose other users’ transactions/cards.,Process,Information Disclosure,,,Enforce object- and field-level authorization; tenant scoping; parameterized queries; avoid over-fetching; response filtering.,CVSS:4.0/AV:N/AC:L/AT:N/PR:L/UI:N/VC:H/VI:N/VA:N/SC:N/SI:N/SA:N,7.1,llm,true,,false
19,Business Logic (Flask),Expensive queries/report generation cause CPU/DB exhaustion.,Process,Denial of Service,,,Request quotas; pagination; query timeouts/limits; caching; circuit breakers; backpressure.,CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:P/VC:N/VI:N/VA:H/SC:N/SI:N/SA:N,7.1,llm,true,,false
20,Business Logic (Flask),Unsafe eval/deserialization or command execution leads to privilege escalation/RCE.,Process,Elevation of Privileges,AML.T0050: Command and Scripting Interpreter,,Avoid eval/exec; no untrusted deserialization; sandbox risky libraries; run with least OS privileges; egress filtering.,CVSS:4.0/AV:N/AC:L/AT:N/PR:L/UI:N/VC:H/VI:H/VA:H/SC:N/SI:N/SA:N,8.7,llm,true,,false
21,File Upload Handler,Unauthenticated or mis-scoped upload endpoints allow identity spoofing or cross-tenant writes.,Process,Spoofing,,,Require auth/authorization on upload; use presigned URLs with short TTL and scope; bind uploads to user/session IDs.,CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:P/VC:H/VI:H/VA:L/SC:N/SI:N/SA:N,8.7,llm,true,,false
22,File Upload Handler,"Path traversal, filename collisions, or malicious file contents tamper with stored data/system.",Process,Tampering,AML.T0049: Exploit Public-Facing Application,,Normalize/whitelist paths; randomize names; AV/malware scanning; block dangerous types; store outside webroot; checksum verification.,CVSS:4.0/AV:N/AC:L/AT:N/PR:L/UI:P/VC:H/VI:H/VA:H/SC:N/SI:N/SA:N,8.6,llm,true,,false
23,File Upload Handler,Lack of upload event logging allows repudiation or inability to trace file origin.,Process,Repudiation,,,"Record uploader identity, timestamps, source IP, file hashes and metadata; store in tamper-evident logs.",CVSS:4.0/AV:N/AC:L/AT:N/PR:L/UI:N/VC:L/VI:L/VA:N/SC:N/SI:N/SA:N,5.3,llm,true,,false
24,File Upload Handler,Serving files without authorization or leaking metadata exposes sensitive content.,Process,Information Disclosure,,,Private storage; enforce authorization on downloads; presigned short-lived URLs; do not inline sensitive files; encrypt at rest.,CVSS:4.0/AV:N/AC:L/AT:N/PR:L/UI:N/VC:H/VI:N/VA:N/SC:N/SI:N/SA:N,7.1,llm,true,,false
25,File Upload Handler,"Oversized uploads, zip bombs, or many concurrent uploads exhaust resources.",Process,Denial of Service,,,Max size limits; streaming uploads; concurrency caps; content inspection; timeouts; detect compression bombs before extraction.,CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:P/VC:N/VI:N/VA:H/SC:N/SI:N/SA:N,7.1,llm,true,,false
26,File Upload Handler,"Vulnerable file parsers (e.g., image/PDF processing) enable code execution and privilege escalation.",Process,Elevation of Privileges,AML.T0050: Command and Scripting Interpreter,,Use patched libraries; isolate processing in sandbox/container with seccomp/AppArmor; drop privileges; limit syscalls and egress.,CVSS:4.0/AV:N/AC:L/AT:N/PR:L/UI:P/VC:H/VI:H/VA:H/SC:N/SI:N/SA:N,8.6,llm,true,,false
27,Database (PostgreSQL),Data tampering via SQL injection or compromised DB credentials.,Data Store,Tampering,,,Strict ORM parameterization; least-privileged roles; separate read/write users; change control; DB ACLs.,CVSS:4.0/AV:N/AC:L/AT:N/PR:L/UI:N/VC:H/VI:H/VA:L/SC:N/SI:N/SA:N,8.7,llm,true,,false
28,Database (PostgreSQL),Lack of immutable audit trails allows repudiation of DB changes.,Data Store,Repudiation,,,Enable pg_audit; append-only audit schema; WAL archiving; cryptographic log sealing and offsite replication.,CVSS:4.0/AV:N/AC:L/AT:N/PR:H/UI:N/VC:L/VI:L/VA:N/SC:N/SI:N/SA:N,5.1,llm,true,,false
29,Database (PostgreSQL),"Sensitive data exposure via misconfigurations, backups, or snapshot leaks.",Data Store,Information Disclosure,,,Encrypt at rest and in transit; restrict backup access; row-level security; data masking; secrets management.,CVSS:4.0/AV:N/AC:L/AT:N/PR:L/UI:N/VC:H/VI:N/VA:N/SC:N/SI:N/SA:N,7.1,llm,true,,false
30,Database (PostgreSQL),"DB resource exhaustion (locks, long-running queries) causing service degradation.",Data Store,Denial of Service,,,Connection pooling; query timeouts; statement time limits; indexes; load shedding; monitoring and auto-kill of runaway queries.,CVSS:4.0/AV:N/AC:H/AT:N/PR:L/UI:N/VC:N/VI:N/VA:H/SC:N/SI:N/SA:N,6,llm,true,,false
31,Local File Storage,Files altered or deleted (ransomware/insider) corrupting content.,Data Store,Tampering,AML.T0025: Exfiltration via Cyber Means,,Immutable/WORM or versioned storage; checksums; restricted service accounts; signed writes; backup/restore testing.,CVSS:4.0/AV:N/AC:L/AT:N/PR:L/UI:N/VC:H/VI:H/VA:L/SC:N/SI:N/SA:N,8.7,llm,true,,false
32,Local File Storage,No provenance/versioning allows repudiation of file changes.,Data Store,Repudiation,,,Enable object versioning; maintain write logs with hashes and timestamps; tamper-evident storage.,CVSS:4.0/AV:N/AC:L/AT:N/PR:H/UI:N/VC:L/VI:L/VA:N/SC:N/SI:N/SA:N,5.1,llm,true,,false
33,Local File Storage,Publicly exposed storage paths or weak ACLs leak uploaded files.,Data Store,Information Disclosure,,,Private buckets/paths; deny-by-default ACLs; encrypt at rest; no direct public links; presigned short-lived URLs for access.,CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:N/VC:H/VI:N/VA:N/SC:N/SI:N/SA:N,8.7,llm,true,,false
34,Local File Storage,Storage exhaustion or I/O saturation prevents reads/writes.,Data Store,Denial of Service,,,Quotas; lifecycle policies; monitoring/alerts; separate hot/cold tiers; autoscaling and backpressure.,CVSS:4.0/AV:N/AC:H/AT:N/PR:N/UI:N/VC:N/VI:N/VA:H/SC:N/SI:N/SA:N,8.2,llm,true,,false
