id,element,threat_description,element_type,stride,mitre_atlas,owasp_top_10_for_llm,mitigation,cvss_vector,cvss_score,threat_source,validation,justification,mitigated
1,User (Browser),Attacker spoofs a legitimate user identity/session to submit prompts and drive unintended agent actions.,External Entity,Spoofing,,,Strong authentication if applicable; signed/HttpOnly/SameSite cookies; CSRF protection; device fingerprinting and anomaly detection; rate limiting and CAPTCHA for public endpoints; short session lifetime and rotation.,CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:N/VC:L/VI:L/VA:L/SC:N/SI:N/SA:N,6.9,llm,true,,false
2,User (Browser),Users deny having issued prompts that caused actions or data access (lack of non-repudiation).,External Entity,Repudiation,,,"End-to-end request logging with timestamps, user/session IDs, IPs; signed request IDs; immutable append-only logs; retain final answers, tool calls metadata and hashes to prove integrity.",CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:N/VC:N/VI:L/VA:N/SC:N/SI:N/SA:N,6.9,llm,true,,false
3,LLM Provider (OpenAI/HF/Ollama),Agent connects to a spoofed or malicious LLM endpoint (DNS poisoning/MitM) leading to manipulated responses or API key theft.,External Entity,Spoofing,AML.T0010: ML Supply Chain Compromise,,Enforce TLS 1.2+ with cert validation and optional certificate pinning; verify host allowlist; use official SDKs; validate response signatures if supported; restrict egress via firewall/DNS policies.,CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:N/VC:H/VI:H/VA:L/SC:N/SI:N/SA:N,9.3,llm,true,,false
4,LLM Provider (OpenAI/HF/Ollama),Provider repudiates responses or usage; lack of traceability of prompts/responses for billing/security investigations.,External Entity,Repudiation,,,Store request/response transcripts and request IDs; enable provider-side logs; use signed receipts/webhooks where available; include deterministic request headers and nonces.,CVSS:4.0/AV:N/AC:H/AT:N/PR:N/UI:N/VC:N/VI:L/VA:N/SC:N/SI:N/SA:N,6.3,llm,true,,false
5,Streamlit UI,Session hijack/CSRF leads the UI to accept actions as another user.,Process,Spoofing,,,"Enable CSRF protection; strict session handling (HttpOnly, SameSite, secure); origin/referrer checks; OAuth/OpenID Connect for auth; rotate tokens; TLS everywhere.",CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:P/VC:L/VI:L/VA:N/SC:N/SI:N/SA:N,5.3,llm,true,,false
6,Streamlit UI,"UI code or state is tampered via XSS/DOM injection or malicious Streamlit components, altering inputs sent to the agent.",Process,Tampering,,LLM05: 2025 Improper Output Handling,Escape/sanitize all untrusted content; avoid unsafe HTML; CSP with strict directives; limit third-party components; input validation; dependency pinning and SCA.,CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:P/VC:L/VI:H/VA:N/SC:N/SI:N/SA:N,7.1,llm,true,,false
7,Streamlit UI,Insufficient audit trails allow repudiation of UI submissions or displayed outputs.,Process,Repudiation,,,"Structured, immutable logging of user actions, prompts, and result rendering events; correlate UI event IDs with agent/tool logs; time sync and log shipping.",CVSS:4.0/AV:N/AC:H/AT:N/PR:N/UI:N/VC:N/VI:L/VA:N/SC:N/SI:N/SA:N,6.3,llm,true,,false
8,Streamlit UI,"Sensitive info (API keys, system prompts, stack traces) displayed to end users through error banners or debug panels.",Process,Information Disclosure,,LLM02: 2025 Sensitive Information Disclosure,Disable debug in prod; centralized error handling with redaction; never render secrets; redact PII; content security policy; segregate admin diagnostics from user UI.,CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:N/VC:H/VI:N/VA:N/SC:N/SI:N/SA:N,8.7,llm,true,,false
9,Streamlit UI,Flooding UI endpoints leads to resource exhaustion or excessive LLM invocations.,Process,Denial of Service,AML.T0034: Cost Harvesting,LLM10: 2025 Unbounded Consumption,"Rate limiting, request quotas per IP/user; global concurrency caps; queue/backpressure; circuit breakers; caching; WAF/CDN.",CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:N/VC:N/VI:N/VA:H/SC:N/SI:N/SA:N,8.7,llm,true,,false
10,Streamlit UI,"UI enables privilege escalation via unsafe execution hooks or excessive capabilities (e.g., executing arbitrary Python through components).",Process,Elevation of Privileges,AML.T0050: Command and Scripting Interpreter,LLM06: 2025 Excessive Agency,Disable/avoid eval-like features; sandbox untrusted components; run with least OS privileges; code reviews for UI callbacks; dependency hardening.,CVSS:4.0/AV:N/AC:H/AT:N/PR:L/UI:P/VC:L/VI:H/VA:L/SC:N/SI:N/SA:N,5.9,llm,true,,false
11,LangChain ReAct Agent,Spoofed tools or forged tool outputs mislead the agent (tool identity not authenticated).,Process,Spoofing,,LLM06: 2025 Excessive Agency,"Whitelist tools by explicit, signed registration; verify tool caller identity; attach HMAC/signatures to tool results; bind tool schema to strict parsers.",CVSS:4.0/AV:L/AC:L/AT:N/PR:L/UI:N/VC:L/VI:H/VA:L/SC:N/SI:N/SA:N,6.9,llm,true,,false
12,LangChain ReAct Agent,"Prompt injection manipulates the agent to exfiltrate secrets, call dangerous tools, or alter chain logic.",Process,Tampering,AML.T0051: LLM Prompt Injection,LLM01: 2025 Prompt Injection,Segment user input from system/tool instructions; apply allowlists for tools; context filtering and output validators; instruction hierarchy enforcement; content/policy classifiers; limit tool arguments; use constrained decoding and schema validation.,CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:P/VC:H/VI:H/VA:L/SC:N/SI:N/SA:N,8.7,llm,true,,false
13,LangChain ReAct Agent,Lack of action traceability lets the agent repudiate tool calls or data access decisions.,Process,Repudiation,,,"Comprehensive agent telemetry: log prompts, tool calls, parameters, observations, token counts; hash and timestamp each step; secure log storage; correlation IDs spanning UI→agent→tools.",CVSS:4.0/AV:L/AC:H/AT:N/PR:L/UI:N/VC:N/VI:L/VA:N/SC:N/SI:N/SA:N,2,llm,true,,false
14,LangChain ReAct Agent,System prompt and secrets leakage via agent outputs or error traces.,Process,Information Disclosure,AML.T0057: LLM Data Leakage,LLM02: 2025 Sensitive Information Disclosure,Never inject secrets into model context; secret redaction; response post-processing to block prompt/secret patterns; use tools for data retrieval instead of embedding secrets; disable verbose traces in prod; test with red-team prompts.,CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:P/VC:H/VI:N/VA:N/SC:N/SI:N/SA:N,7.1,llm,true,,false
15,LangChain ReAct Agent,Unbounded tool/LLM calling creates runaway costs and service degradation.,Process,Denial of Service,AML.T0029: Denial of ML Service,LLM10: 2025 Unbounded Consumption,Max-steps and token caps; timeouts; cost and call quotas per session/user; loop detection; circuit breakers; exponential backoff and global rate limits.,CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:N/VC:N/VI:N/VA:H/SC:N/SI:N/SA:N,8.7,llm,true,,false
16,LangChain ReAct Agent,Agent escalates privileges by invoking powerful local tools or code execution paths beyond intended scope.,Process,Elevation of Privileges,AML.T0050: Command and Scripting Interpreter,LLM06: 2025 Excessive Agency,"Run agent under least-privileged OS user; disable shell/code tools in production; sandbox (seccomp, containers); permission model for tool use; human-in-the-loop for sensitive actions.",CVSS:4.0/AV:L/AC:L/AT:N/PR:L/UI:N/VC:L/VI:H/VA:L/SC:N/SI:N/SA:N,6.9,llm,true,,false
17,Tool Dispatcher (tools.py & utils.py),Unauthorized caller spoofs the agent to invoke tools directly.,Process,Spoofing,,,Internal auth for IPC calls (local tokens); process identity checks; restrict import paths; run dispatcher on loopback only; mTLS for inter-process HTTP if used.,CVSS:4.0/AV:L/AC:L/AT:N/PR:L/UI:N/VC:L/VI:L/VA:L/SC:N/SI:N/SA:N,4.8,llm,true,,false
18,Tool Dispatcher (tools.py & utils.py),"Tool parameters are tampered (e.g., SQL injection or path traversal) leading to unintended queries or file access.",Process,Tampering,,LLM05: 2025 Improper Output Handling,Strict input schemas and validation; parameterized SQL; denylist of dangerous SQL; allowlist tables/columns; sanitize paths; escape user-controlled values; use ORM with query builders.,CVSS:4.0/AV:L/AC:L/AT:N/PR:L/UI:N/VC:L/VI:H/VA:L/SC:N/SI:N/SA:N,6.9,llm,true,,false
19,Tool Dispatcher (tools.py & utils.py),Lack of auditable logs allows repudiation of executed tools/queries.,Process,Repudiation,,,"Structured logging of tool name, parameters, SQL text with parameter values, row counts, timing, caller identity; tamper-evident log storage.",CVSS:4.0/AV:L/AC:H/AT:N/PR:L/UI:N/VC:N/VI:L/VA:N/SC:N/SI:N/SA:N,2,llm,true,,false
20,Tool Dispatcher (tools.py & utils.py),Sensitive DB data or file contents may be over-exposed to the agent beyond least privilege.,Process,Information Disclosure,AML.T0037: Data from Local System,LLM02: 2025 Sensitive Information Disclosure,Row/column-level filtering; data classification; output redaction; limit query breadth; PII masking; minimize tool return payloads; access controls per tool.,CVSS:4.0/AV:L/AC:L/AT:N/PR:L/UI:N/VC:H/VI:N/VA:N/SC:N/SI:N/SA:N,6.8,llm,true,,false
21,Tool Dispatcher (tools.py & utils.py),Expensive or unbounded queries/tools cause resource exhaustion.,Process,Denial of Service,AML.T0034: Cost Harvesting,LLM10: 2025 Unbounded Consumption,Query timeouts and LIMITs; rate limits; concurrency controls; circuit breakers; pre-compute indexes; cache common results; cancel queries on session end.,CVSS:4.0/AV:L/AC:L/AT:N/PR:L/UI:N/VC:N/VI:N/VA:H/SC:N/SI:N/SA:N,6.8,llm,true,,false
22,Tool Dispatcher (tools.py & utils.py),"Dispatcher invokes OS commands, network, or file operations enabling privilege escalation/escape.",Process,Elevation of Privileges,AML.T0050: Command and Scripting Interpreter,LLM06: 2025 Excessive Agency,Remove shelling-out; restrict OS capabilities (seccomp/apparmor); containerize tools; least-privilege filesystem access; egress firewall; code review for tool safety.,CVSS:4.0/AV:L/AC:L/AT:N/PR:L/UI:N/VC:L/VI:H/VA:L/SC:N/SI:N/SA:N,6.9,llm,true,,false
23,SQLite DB (transactions.db),DB file or contents are tampered (unauthorized writes/schema changes).,Data Store,Tampering,,,File permissions (read-only where possible); run as non-root; mount DB read-only for read-mostly; SQLite integrity_check; backups with checksums; application-level integrity constraints.,CVSS:4.0/AV:L/AC:L/AT:N/PR:L/UI:N/VC:L/VI:H/VA:L/SC:N/SI:N/SA:N,6.9,llm,true,,false
24,SQLite DB (transactions.db),Lack of audit trail for data changes enables repudiation of modifications.,Data Store,Repudiation,,,Append-only audit table with triggers recording old/new values and actor; sign audit rows; time sync; protect logs.,CVSS:4.0/AV:L/AC:H/AT:N/PR:L/UI:N/VC:N/VI:L/VA:N/SC:N/SI:N/SA:N,2,llm,true,,false
25,SQLite DB (transactions.db),Unauthorized access to DB file discloses sensitive transactional data.,Data Store,Information Disclosure,AML.T0037: Data from Local System,LLM02: 2025 Sensitive Information Disclosure,Restrictive filesystem ACLs; encrypt DB at rest (SQLite SEE/SQLCipher); avoid storing secrets; secure backups; do not mount DB into UI container layers.,CVSS:4.0/AV:L/AC:L/AT:N/PR:L/UI:N/VC:H/VI:N/VA:N/SC:N/SI:N/SA:N,6.8,llm,true,,false
26,SQLite DB (transactions.db),DB locked or corrupted causing read failures and outages.,Data Store,Denial of Service,,,Busy timeouts; read-only mode for readers; limit long transactions; periodic VACUUM/ANALYZE; health checks and automatic recovery from backups.,CVSS:4.0/AV:L/AC:L/AT:N/PR:L/UI:N/VC:N/VI:N/VA:H/SC:N/SI:N/SA:N,6.8,llm,true,,false
27,"Config files (.env, yaml, toml)",Configuration/secrets tampering changes API keys or tool/DB endpoints.,Data Store,Tampering,,,Immutable config in production; read-only mounts; signature/ checksum verification on startup; least-privileged file permissions; 4-eyes change control.,CVSS:4.0/AV:L/AC:L/AT:N/PR:L/UI:N/VC:L/VI:H/VA:L/SC:N/SI:N/SA:N,6.9,llm,true,,false
28,"Config files (.env, yaml, toml)",No change history leads to repudiation of config modifications.,Data Store,Repudiation,,,Version control (private repo); signed commits; change tickets; checksum snapshots; store effective runtime config to an audit log on startup.,CVSS:4.0/AV:L/AC:H/AT:N/PR:L/UI:N/VC:N/VI:L/VA:N/SC:N/SI:N/SA:N,2,llm,true,,false
29,"Config files (.env, yaml, toml)","Secrets/API keys disclosed via repo leaks, logs, or process dumps.",Data Store,Information Disclosure,AML.T0055: Unsecured Credentials,LLM02: 2025 Sensitive Information Disclosure,Use a secrets manager; avoid committing .env; restrict read access; redact logs; rotate keys; avoid loading secrets into prompts; use env vars injected at runtime.,CVSS:4.0/AV:L/AC:L/AT:N/PR:L/UI:N/VC:H/VI:N/VA:N/SC:N/SI:N/SA:N,6.8,llm,true,,false
30,"Config files (.env, yaml, toml)",Deleting or corrupting config prevents app/agent from starting or operating.,Data Store,Denial of Service,,,Read-only mounts; startup validation with clear errors; fallback defaults for non-sensitive values; high-availability secret storage; backups and restore playbooks.,CVSS:4.0/AV:L/AC:L/AT:N/PR:L/UI:N/VC:N/VI:N/VA:H/SC:N/SI:N/SA:N,6.8,llm,true,,false
31,User (Browser) -> Streamlit UI (User input),Prompt tampering/injection to manipulate downstream agent and tools.,Data Flow,Tampering,AML.T0051: LLM Prompt Injection,LLM01: 2025 Prompt Injection,Input validation and size caps; treat user input as untrusted context; strip/annotate instructions; use content filters; isolate user text from system prompts; disable markdown HTML where unsafe.,CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:A/VC:L/VI:H/VA:N/SC:N/SI:N/SA:N,7,llm,true,,false
32,User (Browser) -> Streamlit UI (User input),User inadvertently submits sensitive data that could leak via logs or LLM context.,Data Flow,Information Disclosure,AML.T0057: LLM Data Leakage,LLM02: 2025 Sensitive Information Disclosure,"Client-side warnings; server-side redaction (SSN, keys); prevent storing raw prompts; PII detection; selective context inclusion; per-tenant data boundaries.",CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:A/VC:H/VI:N/VA:N/SC:N/SI:N/SA:N,6.9,llm,true,,false
