id,element,threat_description,element_type,stride,mitre_atlas,owasp_top_10_for_llm,mitigation,cvss_vector,cvss_score,threat_source,validation,justification,mitigated
1,Anonymous User,"An attacker spoofs a legitimate user’s identity (e.g., forges cookies, headers, or JWTs)",External Entity,Spoofing,,,"Enforce strong authentication (e.g., OAuth2 tokens), validate signatures, use MFA.",CVSS:4.0/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:L/A:N,,llm,true,,false
2,Anonymous User,"User denies having submitted requests or malicious actions, undermining non‐repudiation",External Entity,Repudiation,,,"Implement detailed, tamper‐proof audit logs with timestamps and cryptographic integrity.",CVSS:4.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:N,,llm,true,,false
3,Blog Application,Attacker sends requests that appear to originate from the function itself or trusted services,Process,Spoofing,,,Use mutual TLS between services; validate incoming source IP and headers.,CVSS:4.0/AV:N/AC:H/PR:N/UI:N/S:U/C:L/I:L/A:N,,llm,true,,false
4,Blog Application,Malicious user tampers with runtime configuration or payload parameters to alter behavior,Process,Tampering,,,Validate and sanitize all inputs; use immutable deployment packages.,CVSS:4.0/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:N,,llm,true,,false
5,Blog Application,Insufficient logging allows attackers to repudiate actions within the function,Process,Repudiation,,,"Enable centralized logging (e.g., Azure Monitor), sign logs, retain audit trails.",CVSS:4.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:N,,llm,true,,false
6,Blog Application,"Sensitive data (e.g. config, user data) leaked through error messages or debug output",Process,Information Disclosure,,,Suppress stack traces in production; enforce least‐privilege on logs.,CVSS:4.0/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N,,llm,true,,false
7,Blog Application,"High volume of requests exhausts function instance quotas, causing denial of service",Process,Denial of Service,,,"Implement rate limiting, autoscaling, and request throttling in API Gateway.",CVSS:4.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,,llm,true,,false
8,Blog Application,A flaw in function code allows privilege escalation (e.g. invoking privileged operations),Process,Elevation of Privilege,,,Run functions with managed identities scoped to minimal roles; perform code reviews.,CVSS:4.0/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,,llm,true,,false
9,Authorization Logic,Unauthorized actor spoofs internal request bypassing authorization checks,Process,Spoofing,,,Use signed tokens for inter-service calls; validate the caller’s identity.,CVSS:4.0/AV:N/AC:H/PR:N/UI:N/S:U/C:L/I:L/A:N,,llm,true,,false
10,Authorization Logic,An attacker tampers with decision logic or input parameters to elevate privileges,Process,Tampering,,,Harden code against injection; validate roles against a trusted store.,CVSS:4.0/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:N,,llm,true,,false
